LSOA,Predicted IMD Score
E01033556,21.366726
E01008406,37.37159
E01008407,20.668917
E01008410,20.035276
E01008412,11.70382
E01008413,23.292152
E01033548,33.70328
E01033553,24.089413
E01008394,12.709976
E01008395,32.98819
E01008397,14.257157
E01008399,63.956856
E01008439,69.55289
E01033543,23.648277
E01033545,36.749027
E01033554,35.911808
E01008415,46.861313
E01008416,23.85849
E01033547,63.814724
E01008301,32.841255
E01008302,52.800037
E01008304,63.931973
E01008305,64.93077
E01008391,60.703297
E01008392,43.463215
E01008432,29.149633
E01008288,27.149254
E01008289,52.93524
E01008290,53.85333
E01008291,74.20976
E01008292,10.194522
E01008388,58.67874
E01008389,57.995445
E01008426,69.89607
E01008429,58.6599
E01008331,55.510727
E01008332,67.77789
E01008333,47.055836
E01008334,38.32379
E01008335,39.475105
E01008437,66.36171
E01008438,65.473366
E01008390,59.316654
E01008425,43.831577
E01008427,44.287186
E01008428,34.244987
E01008441,33.342514
E01008442,5.6887627
E01008444,8.759168
E01008445,24.210514
E01008446,7.90796
E01008447,9.633699
E01008448,4.55291
E01008547,3.519121
E01008548,2.3626344
E01008549,4.0234127
E01008551,4.158926
E01008478,46.91713
E01008480,37.30081
E01008504,7.8028383
E01008578,23.885857
E01008583,25.865522
E01008520,4.279846
E01008523,3.0614088
E01008546,2.3805158
E01008550,4.3356533
E01008577,18.90995
E01008579,7.985221
E01008580,7.0225086
E01008581,13.22808
E01008582,21.23241
E01008517,3.265148
E01008519,9.499308
E01008521,8.734533
E01008522,5.498663
E01008584,37.1383
E01008585,14.511138
E01008587,17.301714
E01008588,17.007576
E01008589,4.266876
E01008518,12.759454
E01008564,6.3044252
E01008565,21.722836
E01008567,24.509604
E01008475,6.2778416
E01008476,32.52603
E01008477,35.54217
E01008479,7.7533083
E01008552,11.1829815
E01008553,8.164355
E01008554,17.752588
E01008555,26.51431
E01008586,10.573094
E01008495,5.857688
E01008496,18.400818
E01008497,5.008877
E01008498,7.663905
E01008568,32.815777
E01008569,32.030872
E01008570,12.217463
E01032647,5.5646114
E01032648,29.052156
E01008500,16.761791
E01008505,13.241703
E01008506,27.64789
E01008507,11.053656
E01008493,9.22297
E01008494,16.463577
E01008556,9.1074915
E01008557,3.982496
E01008470,23.402248
E01008499,19.980516
E01008502,27.82429
E01008516,8.398207
E01008488,34.587646
E01008489,35.95932
E01008490,22.55446
E01008491,34.16648
E01008558,12.4315195
E01008560,9.131667
E01008561,26.876785
E01008562,9.3883705
E01008525,9.736424
E01008527,5.988207
E01008559,15.362445
E01008563,2.7307107
E01008469,9.723433
E01008472,2.5603082
E01008473,8.199184
E01008501,5.6967793
E01008503,29.15051
E01008471,22.789497
E01008474,30.211504
E01008513,24.311186
E01008514,29.647982
E01032649,26.94509
E01032650,38.52367
E01008486,25.394299
E01008487,35.11352
E01008526,10.296786
E01008530,19.900328
E01008461,24.603062
E01008466,7.4990845
E01008467,15.106135
E01008468,29.941618
E01008483,23.758984
E01008524,41.899597
E01008528,11.888104
E01008529,11.272217
E01008481,41.93274
E01008482,42.96951
E01008484,50.22992
E01008485,65.29415
E01008492,40.629833
E01008462,32.076374
E01008463,30.13408
E01008464,11.273514
E01008465,14.31739
E01008531,8.857479
E01008532,24.86452
E01008534,11.123668
E01008538,6.0936403
E01008508,35.742023
E01008509,45.48915
E01008510,28.244225
E01008512,48.026695
E01008539,13.454524
E01008540,54.608322
E01008541,45.245625
E01008544,63.95827
E01008545,50.435036
E01008511,34.07427
E01008542,49.80994
E01008543,36.639103
E01008571,43.03702
E01008572,36.976383
E01008573,45.09652
E01008574,17.168108
E01008576,24.047516
E01008533,34.788494
E01008535,17.839575
E01008536,28.181879
E01008537,32.314354
E01008575,40.18902
E01008595,30.287964
E01008596,48.807148
E01008597,22.848173
E01008598,26.73729
E01008599,35.39107
E01008664,44.218845
E01008665,41.70411
